oid	time	aircraftId	flightNumber	latitude	longitude	altitude	direction	verticalRate	v
5a736e09e9630e33cfa71c6c	Thu Feb 01 2018 12:44:09 GMT-0700 (MST)	a028e5		39.783961	-104.996155	39925	239	0	0
5a736e09e9630e33cfa71c6d	Thu Feb 01 2018 12:44:09 GMT-0700 (MST)	acd135		39.951549	-105.081732	15575	273	1152	0
5a736e0ee9630e33cfa71c6e	Thu Feb 01 2018 12:44:14 GMT-0700 (MST)	a028e5		39.774261	-105.016818	39900	239	0	0
5a736e0ee9630e33cfa71c6f	Thu Feb 01 2018 12:44:14 GMT-0700 (MST)	acd135		39.951874	-105.089722	15675	273	1152	0
5a736e13e9630e33cfa71c70	Thu Feb 01 2018 12:44:19 GMT-0700 (MST)	a028e5		39.774261	-105.016818	39900	239	0	0
5a736e13e9630e33cfa71c71	Thu Feb 01 2018 12:44:19 GMT-0700 (MST)	acd135		39.952332	-105.099548	15775	274	1152	0
5a736e18e9630e33cfa71c72	Thu Feb 01 2018 12:44:24 GMT-0700 (MST)	a028e5		39.774261	-105.016818	39900	239	0	0
5a736e18e9630e33cfa71c73	Thu Feb 01 2018 12:44:24 GMT-0700 (MST)	acd135		39.952744	-105.109436	15900	274	1344	0
5a736e1de9630e33cfa71c74	Thu Feb 01 2018 12:44:29 GMT-0700 (MST)	a028e5		39.774261	-105.016818	39900	239	0	0
5a736e1de9630e33cfa71c75	Thu Feb 01 2018 12:44:29 GMT-0700 (MST)	acd135	SKW5719 	39.953039	-105.115252	15975	274	1344	0
5a736e22e9630e33cfa71c76	Thu Feb 01 2018 12:44:34 GMT-0700 (MST)	a028e5		39.774261	-105.016818	39900	239	0	0
5a736e22e9630e33cfa71c77	Thu Feb 01 2018 12:44:34 GMT-0700 (MST)	acd135	SKW5719 	39.953039	-105.115252	15975	274	1344	0
5a736e27e9630e33cfa71c78	Thu Feb 01 2018 12:44:39 GMT-0700 (MST)	a028e5		39.774261	-105.016818	39925	239	0	0
5a736e27e9630e33cfa71c79	Thu Feb 01 2018 12:44:39 GMT-0700 (MST)	acd135	SKW5719 	39.953568	-105.128235	16150	274	1344	0
5a736e2ce9630e33cfa71c7a	Thu Feb 01 2018 12:44:44 GMT-0700 (MST)	a028e5	GTI3555 	39.747977	-105.072876	39925	239	0	0
5a736e2ce9630e33cfa71c7b	Thu Feb 01 2018 12:44:44 GMT-0700 (MST)	acd135	SKW5719 	39.953568	-105.128235	16150	274	1856	0
5a736e31e9630e33cfa71c7c	Thu Feb 01 2018 12:44:49 GMT-0700 (MST)	a028e5	GTI3555 	39.747977	-105.072876	39925	239	0	0
5a736e31e9630e33cfa71c7d	Thu Feb 01 2018 12:44:49 GMT-0700 (MST)	acd135	SKW5719 	39.953568	-105.128235	16150	274	1856	0
5a736e36e9630e33cfa71c7e	Thu Feb 01 2018 12:44:54 GMT-0700 (MST)	a028e5	GTI3555 	39.739132	-105.091797	39900	239	0	0
5a736e36e9630e33cfa71c7f	Thu Feb 01 2018 12:44:54 GMT-0700 (MST)	acd135	SKW5719 	39.954849	-105.158691	16650	274	1472	0
5a736e3be9630e33cfa71c80	Thu Feb 01 2018 12:44:59 GMT-0700 (MST)	a028e5	GTI3555 	39.739132	-105.091797	39900	239	0	0
5a736e3be9630e33cfa71c81	Thu Feb 01 2018 12:44:59 GMT-0700 (MST)	acd135	SKW5719 	39.955181	-105.167375	16775	274	1472	0
5a736e40e9630e33cfa71c82	Thu Feb 01 2018 12:45:04 GMT-0700 (MST)	a028e5	GTI3555 	39.739132	-105.091797	39900	239	0	0
5a736e40e9630e33cfa71c83	Thu Feb 01 2018 12:45:04 GMT-0700 (MST)	acd135	SKW5719 	39.955181	-105.167375	16775	274	1472	0
5a736e45e9630e33cfa71c84	Thu Feb 01 2018 12:45:09 GMT-0700 (MST)	a028e5	GTI3555 	39.739132	-105.091797	39900	239	0	0
5a736e45e9630e33cfa71c85	Thu Feb 01 2018 12:45:09 GMT-0700 (MST)	acd135	SKW5719 	39.955673	-105.180786	17025	274	1472	0
5a736e4ae9630e33cfa71c86	Thu Feb 01 2018 12:45:14 GMT-0700 (MST)	a028e5	GTI3555 	39.739132	-105.091797	39875	239	0	0
5a736e4ae9630e33cfa71c87	Thu Feb 01 2018 12:45:14 GMT-0700 (MST)	acd135	SKW5719 	39.955673	-105.180786	17025	274	1472	0
5a736e4fe9630e33cfa71c88	Thu Feb 01 2018 12:45:19 GMT-0700 (MST)	a028e5	GTI3555 	39.739132	-105.091797	39875	239	0	0
5a736e4fe9630e33cfa71c89	Thu Feb 01 2018 12:45:19 GMT-0700 (MST)	acd135	SKW5719 	39.955673	-105.180786	17025	274	1472	0
5a736e54e9630e33cfa71c8a	Thu Feb 01 2018 12:45:24 GMT-0700 (MST)	a028e5	GTI3555 	39.739132	-105.091797	39900	239	0	0
5a736e54e9630e33cfa71c8b	Thu Feb 01 2018 12:45:24 GMT-0700 (MST)	acd135	SKW5719 	39.955673	-105.180786	17025	274	1472	0
5a736e59e9630e33cfa71c8c	Thu Feb 01 2018 12:45:29 GMT-0700 (MST)	a028e5	GTI3555 	39.739132	-105.091797	39900	239	0	0
5a736e59e9630e33cfa71c8d	Thu Feb 01 2018 12:45:29 GMT-0700 (MST)	acd135	SKW5719 	39.955673	-105.180786	17025	274	1472	0
5a736e5ee9630e33cfa71c8e	Thu Feb 01 2018 12:45:34 GMT-0700 (MST)	0d0aaf		40.030083	-105.151208	27025	269	-192	0
5a736e5ee9630e33cfa71c8f	Thu Feb 01 2018 12:45:34 GMT-0700 (MST)	a028e5	GTI3555 	39.739132	-105.091797	39900	239	0	0
5a736e5ee9630e33cfa71c90	Thu Feb 01 2018 12:45:34 GMT-0700 (MST)	acd135	SKW5719 	39.955673	-105.180786	17025	274	1472	0
5a736e63e9630e33cfa71c91	Thu Feb 01 2018 12:45:39 GMT-0700 (MST)	0d0aaf		40.029922	-105.164185	27000	269	-192	0
5a736e63e9630e33cfa71c92	Thu Feb 01 2018 12:45:39 GMT-0700 (MST)	a028e5	GTI3555 	39.739132	-105.091797	39925	239	0	0
5a736e63e9630e33cfa71c93	Thu Feb 01 2018 12:45:39 GMT-0700 (MST)	acd135	SKW5719 	39.955673	-105.180786	17025	274	1472	0
5a736e68e9630e33cfa71c94	Thu Feb 01 2018 12:45:44 GMT-0700 (MST)	0d0aaf		40.029922	-105.164185	27000	269	-192	0
5a736e68e9630e33cfa71c95	Thu Feb 01 2018 12:45:44 GMT-0700 (MST)	a028e5	GTI3555 	39.691635	-105.191465	39925	239	-128	0
5a736e68e9630e33cfa71c96	Thu Feb 01 2018 12:45:44 GMT-0700 (MST)	acd135	SKW5719 	39.955673	-105.180786	17025	274	1472	0
5a736e6de9630e33cfa71c97	Thu Feb 01 2018 12:45:49 GMT-0700 (MST)	0d0aaf		40.029922	-105.164185	27000	269	-192	0
5a736e6de9630e33cfa71c98	Thu Feb 01 2018 12:45:49 GMT-0700 (MST)	a028e5	GTI3555 	39.687133	-105.200928	39925	239	-128	0
5a736e6de9630e33cfa71c99	Thu Feb 01 2018 12:45:49 GMT-0700 (MST)	acd135	SKW5719 	39.955673	-105.180786	17025	274	1472	0
5a736e72e9630e33cfa71c9a	Thu Feb 01 2018 12:45:54 GMT-0700 (MST)	0d0aaf		40.029922	-105.164185	27000	269	-192	0
5a736e72e9630e33cfa71c9b	Thu Feb 01 2018 12:45:54 GMT-0700 (MST)	a028e5	GTI3555 	39.681564	-105.212721	39900	239	-192	0
5a736e72e9630e33cfa71c9c	Thu Feb 01 2018 12:45:54 GMT-0700 (MST)	acd135	SKW5719 	39.955673	-105.180786	18075	274	1472	0
5a736e77e9630e33cfa71c9d	Thu Feb 01 2018 12:45:59 GMT-0700 (MST)	0d0aaf		40.029922	-105.164185	27000	269	-192	0
5a736e77e9630e33cfa71c9e	Thu Feb 01 2018 12:45:59 GMT-0700 (MST)	a028e5	GTI3555 	39.676705	-105.223022	39875	239	-128	0
5a736e77e9630e33cfa71c9f	Thu Feb 01 2018 12:45:59 GMT-0700 (MST)	acd135	SKW5719 	39.955673	-105.180786	18075	274	1472	0
5a736e7ce9630e33cfa71ca0	Thu Feb 01 2018 12:46:04 GMT-0700 (MST)	0d0aaf		40.029922	-105.164185	27000	269	-192	0
5a736e7ce9630e33cfa71ca1	Thu Feb 01 2018 12:46:04 GMT-0700 (MST)	a028e5	GTI3555 	39.673121	-105.230591	39875	239	-64	0
5a736e7ce9630e33cfa71ca2	Thu Feb 01 2018 12:46:04 GMT-0700 (MST)	acd135	SKW5719 	39.955673	-105.180786	18075	274	1472	0
5a736e81e9630e33cfa71ca3	Thu Feb 01 2018 12:46:09 GMT-0700 (MST)	0d0aaf		40.029922	-105.164185	27000	269	-192	0
5a736e81e9630e33cfa71ca4	Thu Feb 01 2018 12:46:09 GMT-0700 (MST)	a028e5	GTI3555 	39.671305	-105.234436	39875	239	0	0
5a736e86e9630e33cfa71ca5	Thu Feb 01 2018 12:46:14 GMT-0700 (MST)	0d0aaf		40.029922	-105.164185	27000	269	-192	0
5a736e86e9630e33cfa71ca6	Thu Feb 01 2018 12:46:14 GMT-0700 (MST)	a028e5	GTI3555 	39.671305	-105.234436	39875	239	0	0
5a736e8be9630e33cfa71ca7	Thu Feb 01 2018 12:46:19 GMT-0700 (MST)	0d0aaf		40.029922	-105.164185	27000	269	-192	0
5a736e8be9630e33cfa71ca8	Thu Feb 01 2018 12:46:19 GMT-0700 (MST)	a028e5	GTI3555 	39.671305	-105.234436	39875	239	0	0
5a736e90e9630e33cfa71ca9	Thu Feb 01 2018 12:46:24 GMT-0700 (MST)	0d0aaf		40.029922	-105.164185	27000	269	-192	0
5a736e90e9630e33cfa71caa	Thu Feb 01 2018 12:46:24 GMT-0700 (MST)	a028e5	GTI3555 	39.671305	-105.234436	39875	239	0	0
5a736e95e9630e33cfa71cab	Thu Feb 01 2018 12:46:29 GMT-0700 (MST)	0d0aaf		40.029922	-105.164185	27000	269	-192	0
5a736e95e9630e33cfa71cac	Thu Feb 01 2018 12:46:29 GMT-0700 (MST)	a028e5	GTI3555 	39.671305	-105.234436	39875	239	0	0
5a736e9ae9630e33cfa71cad	Thu Feb 01 2018 12:46:34 GMT-0700 (MST)	0d0aaf		40.029922	-105.164185	27000	269	-192	0
5a736e9ae9630e33cfa71cae	Thu Feb 01 2018 12:46:34 GMT-0700 (MST)	a028e5	GTI3555 	39.671305	-105.234436	39875	239	0	0
5a736e9fe9630e33cfa71caf	Thu Feb 01 2018 12:46:39 GMT-0700 (MST)	0d0aaf		40.029922	-105.164185	27000	269	-192	0
5a736e9fe9630e33cfa71cb0	Thu Feb 01 2018 12:46:39 GMT-0700 (MST)	a028e5	GTI3555 	39.671305	-105.234436	39875	239	0	0
5a736ea4e9630e33cfa71cb1	Thu Feb 01 2018 12:46:44 GMT-0700 (MST)	a028e5	GTI3555 	39.671305	-105.234436	39875	239	0	0
